GeneID,CH323,CH572,CH300,CH269,CH290,CH150,CH704,CH188B,CH274,CH198,CH315,CH235,CH339,CH308,CH172A,CH188A,CH328,CH727,CH295,CH288,CH722,CH172B
ENST00000676123.LCOR.17,72.0496,136.036,59.3004,67.7805,61.3505,56.5365,125.64,123.559,87.0978,81.7951,19.8849,73.5756,44.3466,67.0026,110.299,134.622,60.2743,194.593,128.051,123.658,132.263,31.7542
ENST00000273075.DNPEP.2,0.000827668,0.00101552,4.46E-05,0.00337908,0.000714478,6.71E-05,0.000248222,0.00234407,0.000973045,0.000165401,0.00188767,0,4.18E-05,0.000628596,0.000136131,0.0021152,0.000222099,6.88E-05,0.000821217,0.00129417,8.08E-05,0.000756948
ENST00000255006.RIN2.37,0,74,12.8411,51,56,23,135,73,62.3088,59,31,8,0,15,128,92.4517,16,84,53.0097,58.5449,76,18.8989
ENST00000401041.MIER1.5,44.638,62.7588,13.6312,59.9244,70.6373,19.9627,129.816,86.3473,56.6215,70.3306,24.7736,6.08221,7.2274,12.0138,84.6287,138.536,17.4909,78.5022,74.2573,76.3426,68.8828,23.264
ENST00000274629.KCNMB1.15,1,0,11,4,1,2,4,2,2,10,1,3,0,0,12,2,0,1,3,4,4,4
ENST00000343164.SLC6A13.88,0,0,0,0,5.88498,0,0,0,0,0,0,0,0,11.7117,0,0,0,5.8953,0,0,0,0
ENST00000292377.GPC2.94,3,10,2,8,12,10,16,8,6,8,10,0,1,4,20,14,3,8,7,25,15,1
ENST00000064571.CBLN4.30,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0
ENST00000271688.CERS2.33,300.228,454.672,243.474,246.553,313.717,227.558,364.007,480.071,244.853,362.157,160.515,212,166.929,326.705,855.127,658.01,308.664,341.793,371.111,320.804,478.913,216.778
ENST00000370128.RTCA.33,39.8919,42.8648,11.2525,19.4215,49.4345,25,48.3407,87.0802,43.7961,80.2654,18,7,0,29.526,96.43,126.34,17,76.6868,66.1322,80.549,106.248,22.9954
ENST00000378943.GK.4,0,20.4738,14.5402,24.2448,0,0,16.2056,12.0259,11.9295,7.13026,0,0,0,0,19.6595,7.86527,0,21.3566,9.33041,0,0,0
ENST00000353656.GYG2.4,55.8025,66.9986,66.1834,29,19.3675,50.488,45.7261,0.0168973,34.281,0.00358678,0.0240054,40,22.4738,39.7635,135.084,78.2517,0.0100738,35.4825,51.1842,0.00473916,41.0742,0.0240886
ENST00000619601.GAPDH.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000164640.PDZD4.4,0,0,0,2.99959,6.48071,0,0,1.99986,0,0,0,0,0,0,5.99998,0,0,0,0,6.47275,6.47776,0
ENST00000618074.NDUFS7.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000559471.SECISBP2L.21,1102,1635,1871,845,1113,1366,1180.37,940,608.433,1013.6,748,1150,1552,885,5374.48,1326.84,1269,1298.89,1099,1080,1469.3,1218
ENST00000655340.MYSM1.5,2.62496,0,0,0,0,0,0,8.63E-07,0,0,0,22.4812,23.2522,0,0,0,0,0,27.6269,0,0,5.94E-07
ENST00000396051.MOB1B.13,30.6309,28.2275,51.5182,16.8615,25.9879,45.2006,24.695,34.4371,22.4469,84.5826,28.9954,11.998,39.5399,71.5876,59.0383,150.468,23.2864,39.1576,17.5033,16.9055,21.0679,27.3677
