,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CHAC2,199.1165208453264,1.0910036572071742,0.3452891003005829,3.863061821804906,0.0001119746553115966,0.015567570721078861
ISG15,110.67419025391712,1.0513205375016255,0.327734727733553,3.898674403228359,9.672072573967656e-05,0.015567570721078861
CLEC20A,166.09044897680528,1.4011654506844575,0.46796168432705343,3.7568447183352287,0.00017206919135884235,0.015902231314881745
PSMF1,7988.595306018918,1.340260043127194,0.45122215387566156,3.7158537383042765,0.0002025187137773857,0.015902231314881745
DDB1,10590.54455911101,1.3307203051433654,0.4324246264676628,3.784222979917933,0.0001541895405508132,0.015902231314881745
RAB27B,1601.426422787595,1.3256081609604902,0.4626906745707656,3.645223755654033,0.00026715925323238666,0.015902231314881745
HBD,1209902.6782824558,1.3025426064620014,0.4241304766453439,3.788696770439293,0.00015143962034168168,0.015902231314881745
FGD6,809.1150947843291,1.2986917991762597,0.4320072069193653,3.750539628986175,0.0001764544134929978,0.015902231314881745
PDK2,3334.932907366242,1.292412762576513,0.41972266885697684,3.806285113739567,0.00014106974967514752,0.015902231314881745
FBN1,86.38094590403979,1.2796801991279898,0.4258599103007528,3.7663964753774253,0.0001656207124283998,0.015902231314881745
MPP1,10504.585493384238,1.2712817686911162,0.4326509021589271,3.6735876045485343,0.00023916862674407395,0.015902231314881745
H2BC11,770.3872398001139,1.2621257309305098,0.44039209939652924,3.64045852888076,0.0002721529420029942,0.015902231314881745
BLVRB,26659.442159595084,1.2610254818563027,0.4375748119776908,3.62269377480506,0.00029155090191404373,0.015902231314881745
RNF38,11306.723636361032,1.2606558623853437,0.43616304644419485,3.657439781753647,0.0002547470829232411,0.015902231314881745
HSPH1,10105.406837548308,1.2562853892271983,0.4191592365344592,3.730347165699136,0.00019121610834868774,0.015902231314881745
TCP11L2,34884.12976323658,1.24044138117205,0.4318892695665188,3.6339126647974127,0.00027915538886044857,0.015902231314881745
CREG1,66694.29573695066,1.2382216170386762,0.4039240107610156,3.7597924517890866,0.00017005437926154385,0.015902231314881745
TAX1BP1,8922.43498684537,1.221288722101411,0.39562267572492615,3.800081175006372,0.00014464869757266618,0.015902231314881745
GABARAPL2,25190.28586293517,1.2091375644101956,0.4151264592530668,3.641005469056056,0.0002715753667381579,0.015902231314881745
GSTP1,1874.2165281528864,1.2077273258277827,0.4172800595180698,3.658231859003129,0.0002539612519442774,0.015902231314881745
ELL2,351.7212011351115,1.2068064976106294,0.4096973104220958,3.7022518331858256,0.00021369434749003512,0.015902231314881745
USP15,16852.710960276574,1.2046333858853422,0.408733612777693,3.6820925815825167,0.0002313273683529039,0.015902231314881745
DEPDC1,178.09238085593603,1.2036594645720127,0.4236942870193575,3.627176089840911,0.0002865378889746231,0.015902231314881745
ATP13A2,3863.0522143226344,1.2007029503646747,0.41835873500252185,3.6351491912307528,0.0002778198119299741,0.015902231314881745
LSM12,1542.4681977136545,1.1999994913708223,0.4154202576955143,3.653671356286144,0.0002585171215563856,0.015902231314881745
SIRT2,582.4333948276727,1.1990354098695835,0.4083799415312718,3.6886511337840036,0.0002254460938569572,0.015902231314881745
PARK7,1528.4005276881066,1.194062745032311,0.39967944436897207,3.7288484728091116,0.0001923567700222099,0.015902231314881745
MPG,828.601957997846,1.1923062861201765,0.3942536094472653,3.7583978628644306,0.00017100481615113178,0.015902231314881745
SEC62,23809.627816275042,1.1894455460427615,0.4122586865197397,3.628870270481886,0.0002846642387699982,0.015902231314881745
TRIM10,217.90673493478897,1.1865746997272084,0.4171204911290625,3.626461961460095,0.0002873311234135612,0.015902231314881745
